Feature,Importance
verified,0.49585232
rating_deviation,0.29961628
user_review_count,0.115747735
rating,0.030895578
review_length,0.025374766
helpful_ratio,0.019170005
sentiment_score,0.0035723045
sentiment_extreme,0.0026476947
product_rating_variance,0.0015827508
repetition_ratio,0.0012570322
user_review_frequency,0.0010804486
days_since_first_review,0.0008864399
product_review_count,0.0008344516
review_time_gap,0.00079199194
review_density,0.0006900994
question_count,0.0
exclamation_count,0.0
product_popularity_log,0.0
