Model,Dataset,RMSE,MAE,R2,Spearman
Linear Regression,Train,0.07054164466292943,0.04498835618413256,0.6875371959115958,0.8581886554641677
Linear Regression,Validation,0.07010879907448468,0.04492956373817172,0.6906047416320047,0.8571474258006815
Linear Regression,Test,0.07044073135476829,0.04500926293500751,0.6891738057076641,0.8581211310164159
Random Forest,Train,0.042289452817432745,0.019252352455883325,0.887702187708607,0.945215381905314
Random Forest,Validation,0.050282102935911455,0.023105633090615665,0.8408540967992733,0.9297529168109723
Random Forest,Test,0.050803700550317195,0.02341045505743858,0.8383184018802362,0.9294162859802904
Gradient Boosting,Train,0.0494544727476359,0.02447524331976511,0.8464257807478798,0.9324804414785328
Gradient Boosting,Validation,0.0497673124784523,0.024645606882483028,0.8440961015062702,0.9303029458733619
Gradient Boosting,Test,0.05018164184927019,0.024900751547422655,0.8422535366419291,0.9303208048360121
XGBoost,Train,0.04902433080362951,0.02384423550022758,0.849085658770748,0.9333803240031232
XGBoost,Validation,0.04964420554253897,0.024146400914738648,0.8448664510422657,0.9307682583987156
XGBoost,Test,0.05007381053572122,0.02441533602146517,0.8429307457567654,0.9306148981968991
