Feature,Correlation
rating_deviation,0.62903661124132
verified,0.45028551537523603
product_rating_variance,0.3672342668477305
user_review_count,0.28506350445522605
rating,0.2302998146699737
sentiment_score,0.14750962499488282
product_popularity_log,0.10334776327692345
sentiment_extreme,0.09630981126507969
helpful_ratio,0.0867725204268718
user_review_frequency,0.0839937436759001
product_review_count,0.02943679705166938
review_density,0.011025726776073257
days_since_first_review,0.009471221518021412
review_length,0.005469224178131709
review_time_gap,0.002809500325428869
repetition_ratio,3.778612621616123e-05
exclamation_count,
question_count,
